Tên sản phẩm,Link,Giá sản phẩm,Kích thước màn hình,Độ phân giải màn hình,Camera sau,Camera trước,CPU,Ram,Bộ nhớ trong,Pin,Bluetooth,Loại sản phẩm,Cửa hàng
iPhone 12 Pro Max I Chính hãng VN/A ,https://cellphones.com.vn/iphone-12-pro-max.html,32.990.000 VNĐ,6.7 inches,OLED,"12 MP, f/1.6, 26mm (wide), 1.4µm, dual pixel PDAF, OIS 12 MP, f/2.0, 52mm (telephoto), 1/3.4"", 1.0µm, PDAF, OIS, 2x optical zoom 12 MP, f/2.4, 120˚, 13mm (ultrawide), 1/3.6"" TOF 3D LiDAR scanner (depth)","12 MP, f/2.2, 23mm (wide), 1/3.6"" SL 3D, (depth/biometrics sensor)",Apple A14 Bionic (5 nm),4 GB,128 GB,"Li-Ion, sạc nhanh 20W, sạc không dây 15W, USB Power Delivery 2.0","5.0, A2DP, LE",IPHONE,CELL_PHONE
iPhone 11 I Chính hãng VN/A ,https://cellphones.com.vn/iphone-11.html,18.000.000 VNĐ,6.1 inches,IPS LCD,Camera kép 12MP:- Camera góc rộng: ƒ/1.8 aperture- Camera siêu rộng: ƒ/2.4 aperture ,"12 MP, ƒ/2.2 aperture",A13 Bionic,4 GB,64 GB,3110 mAh,5.0,IPHONE,CELL_PHONE
iPhone 12 I Chính hãng VN/A ,https://cellphones.com.vn/iphone-12.html,22.990.000 VNĐ,6.1 inches,OLED,"12 MP, f/1.6, 26mm (wide), 1.4µm, dual pixel PDAF, OIS 12 MP, f/2.4, 120˚, 13mm (ultrawide), 1/3.6""","12 MP, f/2.2, 23mm (wide), 1/3.6"" SL 3D, (depth/biometrics sensor)",Apple A14 Bionic (5 nm),4 GB,64 GB,"Li-Ion, sạc nhanh 20W, sạc không dây 15W, USB Power Delivery 2.0","5.0, A2DP, LE",IPHONE,CELL_PHONE
iPhone XR 64GB I Chính hãng VN/A ,https://cellphones.com.vn/apple-iphone-xr-64-gb-chinh-hang-vn.html,14.990.000 VNĐ,6.1 inches,IPS LCD,12MP,7MP,Apple A12 Bionic,3 GB,64 GB,2942mAh,"v5.0, A2DP, LE",IPHONE,CELL_PHONE
iPhone 12 Pro I Chính hãng VN/A ,https://cellphones.com.vn/iphone-12-pro.html,30.990.000 VNĐ,6.1 inches,OLED,"12 MP, f/1.6, 26mm (wide), 1.4µm, dual pixel PDAF, OIS 12 MP, f/2.0, 52mm (telephoto), 1/3.4"", 1.0µm, PDAF, OIS, 2x optical zoom 12 MP, f/2.4, 120˚, 13mm (ultrawide), 1/3.6"" TOF 3D LiDAR scanner (depth)","12 MP, f/2.2, 23mm (wide), 1/3.6"" SL 3D, (depth/biometrics sensor)",Apple A14 Bionic (5 nm),6 GB,128 GB,"Li-Ion, sạc nhanh 20W, sạc không dây 15W, USB Power Delivery 2.0","5.0, A2DP, LE",IPHONE,CELL_PHONE
iPhone 11 Pro Max Chính hãng,https://cellphones.com.vn/iphone-11-pro-max.html,Đăng ký nhận tin,6.5 inches,OLED,3 Camera 12MP:- Camera tele: ƒ/2.0 aperture- Camera góc rộng: ƒ/1.8 aperture- Camera siêu rộng: ƒ/2.4 aperture,12 MP ƒ/2.2 aperture,A13 Bionic,4 GB,64 GB,3969 mAh,5.0,IPHONE,CELL_PHONE
iPhone 12 mini I Chính hãng VN/A ,https://cellphones.com.vn/iphone-12-mini.html,18.990.000 VNĐ,5.4 inches,OLED,"12 MP, f/1.6, 26mm (wide), 1.4µm, dual pixel PDAF, OIS 12 MP, f/2.4, 120˚, 13mm (ultrawide), 1/3.6""","12 MP, f/2.2, 23mm (wide), 1/3.6"" SL 3D, (depth/biometrics sensor)",Apple A14 Bionic (5 nm),4 GB,64 GB,"Li-Ion, sạc nhanh 20W, sạc không dây 15W, USB Power Delivery 2.0","5.0, A2DP, LE",IPHONE,CELL_PHONE
iPhone 11 128GB I Chính hãng VN/A ,https://cellphones.com.vn/iphone-11-128gb.html,19.900.000 VNĐ,6.1 inches,IPS LCD,Camera kép 12MP:- Camera góc rộng: ƒ/1.8 aperture- Camera siêu rộng: ƒ/2.4 aperture ,"12 MP, ƒ/2.2 aperture",A13 Bionic,4 GB,128 GB,3110 mAh,5.0,IPHONE,CELL_PHONE
iPhone 12 128GB I Chính hãng VN/A ,https://cellphones.com.vn/iphone-12-128gb.html,24.990.000 VNĐ,6.1 inches,OLED,"12 MP, f/1.6, 26mm (wide), 1.4µm, dual pixel PDAF, OIS 12 MP, f/2.4, 120˚, 13mm (ultrawide), 1/3.6""","12 MP, f/2.2, 23mm (wide), 1/3.6"" SL 3D, (depth/biometrics sensor)",Apple A14 Bionic (5 nm),4 GB,128 GB,"Li-Ion, sạc nhanh 20W, sạc không dây 15W, USB Power Delivery 2.0","5.0, A2DP, LE",IPHONE,CELL_PHONE
iPhone 12 Pro Max 256GB I Chính hãng VN/A ,https://cellphones.com.vn/iphone-12-pro-max-256gb.html,36.990.000 VNĐ,6.7 inches,OLED,"12 MP, f/1.6, 26mm (wide), 1.4µm, dual pixel PDAF, OIS 12 MP, f/2.0, 52mm (telephoto), 1/3.4"", 1.0µm, PDAF, OIS, 2x optical zoom 12 MP, f/2.4, 120˚, 13mm (ultrawide), 1/3.6"" TOF 3D LiDAR scanner (depth)","12 MP, f/2.2, 23mm (wide), 1/3.6"" SL 3D, (depth/biometrics sensor)",Apple A14 Bionic (5 nm),6 GB,256 GB,"Li-Ion, sạc nhanh 18W, sạc không dây 15W, USB Power Delivery 2.0","5.0, A2DP, LE",IPHONE,CELL_PHONE
iPhone XR 128GB I Chính hãng VN/A ,https://cellphones.com.vn/apple-iphone-xr-128-gb-chinh-hang-vn.html,16.990.000 VNĐ,6.1 inches,IPS LCD,12MP,7MP,Apple A12 Bionic,3 GB,128 GB,2942mAh,"v5.0, A2DP, LE",IPHONE,CELL_PHONE
iPhone 11 Pro Max 256GB I Chính hãng VN/A ,https://cellphones.com.vn/iphone-11-pro-max-256gb.html,Đăng ký nhận tin,6.5 inches,OLED,3 Camera 12MP:- Camera tele: ƒ/2.0 aperture- Camera góc rộng: ƒ/1.8 aperture- Camera siêu rộng: ƒ/2.4 aperture,12 MP ƒ/2.2 aperture,A13 Bionic,4 GB,256 GB,3969 mAh,5.0,IPHONE,CELL_PHONE
iPhone 12 mini 128GB I Chính hãng VN/A ,https://cellphones.com.vn/iphone-12-mini-128gb.html,20.990.000 VNĐ,5.4 inches,OLED,"12 MP, f/1.6, 26mm (wide), 1.4µm, dual pixel PDAF, OIS 12 MP, f/2.4, 120˚, 13mm (ultrawide), 1/3.6""","12 MP, f/2.2, 23mm (wide), 1/3.6"" SL 3D, (depth/biometrics sensor)",Apple A14 Bionic (5 nm),4 GB,128 GB,"Li-Ion, sạc nhanh 20W, sạc không dây 15W, USB Power Delivery 2.0","5.0, A2DP, LE",IPHONE,CELL_PHONE
Apple iPhone XS Max 64GB I Chính hãng VN/A ,https://cellphones.com.vn/apple-iphone-xs-max-64-gb-chinh-hang-vn.html,Đăng ký nhận tin,6.5 inches,12 MP,7 MP,Apple A12 Bionic 6 nhân,64 GB,Li-ion,Nano-SIM,12,"5.0, A2DP, LE",IPHONE,CELL_PHONE
iPhone 12 Pro 256GB I Chính hãng VN/A ,https://cellphones.com.vn/iphone-12-pro-256gb.html,33.990.000 VNĐ,6.1 inches,OLED,"12 MP, f/1.6, 26mm (wide), 1.4µm, dual pixel PDAF, OIS 12 MP, f/2.0, 52mm (telephoto), 1/3.4"", 1.0µm, PDAF, OIS, 2x optical zoom 12 MP, f/2.4, 120˚, 13mm (ultrawide), 1/3.6"" TOF 3D LiDAR scanner (depth)","12 MP, f/2.2, 23mm (wide), 1/3.6"" SL 3D, (depth/biometrics sensor)",Apple A14 Bionic (5 nm),6 GB,256 GB,"Li-Ion, sạc nhanh 20W, sạc không dây 15W, USB Power Delivery 2.0","5.0, A2DP, LE",IPHONE,CELL_PHONE
iPhone SE 2020 I Chính hãng VN/A ,https://cellphones.com.vn/iphone-se-2.html,Đăng ký nhận tin,4.7 inches,IPS LCD,"12 MP, f/1.8 (wide), PDAF, OIS","7 MP, f/2.2",Apple A13 Bionic (7 nm+),3 GB,64 GB,"Li-Ion 1821 mAh battery (6.96 Wh), Fast charging 18W, 50% in 30 min","5.0, A2DP, LE",IPHONE,CELL_PHONE
Apple iPhone 8 Plus 128GB I Chính hãng VN/A ,https://cellphones.com.vn/iphone-8-plus-128gb-chinh-hang-vn-a.html,Đăng ký nhận tin,5.5 inches,IPS LCD,"12 MP (f/1.8, 28mm, OIS) + 12 MP (f/2.8, 57mm), tự động lấy nét nhận diện theo giai đoạn, zoom quang 2x, 4 LED flash (2 tone)","7 MP, f/2.2, 1080p@30fps, 720p@240fps, nhận diện khuôn mặt, HDR, panorama",Apple A11 Bionic APL1W72,3 GB,128 GB,Li-ion 2691 mAh,"5.0, A2DP, LE",IPHONE,CELL_PHONE
iPhone 12 Pro Max 512GB I Chính hãng VN/A ,https://cellphones.com.vn/iphone-12-pro-max-512gb.html,42.990.000 VNĐ,6.7 inches,OLED,"12 MP, f/1.6, 26mm (wide), 1.4µm, dual pixel PDAF, OIS 12 MP, f/2.0, 52mm (telephoto), 1/3.4"", 1.0µm, PDAF, OIS, 2x optical zoom 12 MP, f/2.4, 120˚, 13mm (ultrawide), 1/3.6"" TOF 3D LiDAR scanner (depth)","12 MP, f/2.2, 23mm (wide), 1/3.6"" SL 3D, (depth/biometrics sensor)",Apple A14 Bionic (5 nm),6 GB,512 GB,"Li-Ion, sạc nhanh 20W, sạc không dây 15W, USB Power Delivery 2.0","5.0, A2DP, LE",IPHONE,CELL_PHONE
iPhone 11 Pro I Chính hãng VN/A ,https://cellphones.com.vn/iphone-11-pro.html,Đăng ký nhận tin,5.8 inches,OLED,3 Camera 12MP:- Camera tele: ƒ/2.0 aperture- Camera góc rộng: ƒ/1.8 aperture- Camera siêu rộng: ƒ/2.4 aperture,12 MP ƒ/2.2 aperture,A13 Bionic,4 GB,64 GB,3046 mAh,5.0,IPHONE,CELL_PHONE
iPhone 12 256GB I Chính hãng VN/A ,https://cellphones.com.vn/iphone-12-256gb.html,26.990.000 VNĐ,6.1 inches,OLED,"12 MP, f/1.6, 26mm (wide), 1.4µm, dual pixel PDAF, OIS 12 MP, f/2.4, 120˚, 13mm (ultrawide), 1/3.6""","12 MP, f/2.2, 23mm (wide), 1/3.6"" SL 3D, (depth/biometrics sensor)",Apple A14 Bionic (5 nm),4 GB,256 GB,"Li-Ion, sạc nhanh 20W, sạc không dây 15W, USB Power Delivery 2.0","5.0, A2DP, LE",IPHONE,CELL_PHONE
